case_name,sigma_scaling,seed,max_depth,min_samples_leaf,exact_match,status_accuracy,mean_status_errors,mean_realized_depth,max_realized_depth,mean_number_leaves,training_time_seconds
pglib_opf_case73_ieee_rts,0.01,42,10,2,0.546,0.9973621262458472,1.588,10.0,10,278.56,17.324572499999704
pglib_opf_case73_ieee_rts,0.01,42,10,10,0.531,0.9973006644518272,1.625,10.0,10,149.07,15.769744700000956
pglib_opf_case73_ieee_rts,0.01,42,10,50,0.462,0.9970514950166113,1.775,8.79,10,38.62,11.828647399999682
pglib_opf_case73_ieee_rts,0.01,42,50,2,0.552,0.9974269102990033,1.549,21.15,29,604.12,17.439696999999796
pglib_opf_case73_ieee_rts,0.01,42,50,10,0.54,0.9973305647840531,1.607,15.28,21,188.39,15.064021399999547
pglib_opf_case73_ieee_rts,0.01,42,50,50,0.461,0.9970215946843853,1.793,8.84,12,38.67,12.161767699999473
pglib_opf_case73_ieee_rts,0.01,42,None,2,0.552,0.9974269102990033,1.549,21.15,29,604.12,18.535583400000178
pglib_opf_case73_ieee_rts,0.01,42,None,10,0.54,0.9973305647840531,1.607,15.28,21,188.39,14.749816500001543
pglib_opf_case73_ieee_rts,0.01,42,None,50,0.461,0.9970215946843853,1.793,8.84,12,38.67,11.853209700000662
pglib_opf_case73_ieee_rts,0.01,123,10,2,0.55,0.9972890365448505,1.632,10.0,10,287.46,16.583357199999227
pglib_opf_case73_ieee_rts,0.01,123,10,10,0.524,0.9971262458471761,1.73,10.0,10,149.21,14.73908289999963
pglib_opf_case73_ieee_rts,0.01,123,10,50,0.469,0.9969418604651162,1.841,8.75,10,38.72,11.760106800000358
pglib_opf_case73_ieee_rts,0.01,123,50,2,0.564,0.9973704318936877,1.583,21.28,29,603.52,18.51451210000232
pglib_opf_case73_ieee_rts,0.01,123,50,10,0.537,0.9972475083056478,1.657,15.03,21,188.19,14.855323100000533
pglib_opf_case73_ieee_rts,0.01,123,50,50,0.471,0.9969534883720931,1.834,8.81,11,38.8,12.31302660000074
pglib_opf_case73_ieee_rts,0.01,123,None,2,0.564,0.9973704318936877,1.583,21.28,29,603.52,18.645408899999893
pglib_opf_case73_ieee_rts,0.01,123,None,10,0.537,0.9972475083056478,1.657,15.03,21,188.19,16.248135099998763
pglib_opf_case73_ieee_rts,0.01,123,None,50,0.471,0.9969534883720931,1.834,8.81,11,38.8,12.220572399997764
pglib_opf_case73_ieee_rts,0.01,456,10,2,0.546,0.997312292358804,1.618,10.0,10,286.02,16.559640700001182
pglib_opf_case73_ieee_rts,0.01,456,10,10,0.528,0.9973255813953489,1.61,10.0,10,147.22,14.564902000001894
pglib_opf_case73_ieee_rts,0.01,456,10,50,0.467,0.9969318936877076,1.847,8.85,10,38.49,12.056850499997381
pglib_opf_case73_ieee_rts,0.01,456,50,2,0.561,0.9973554817275747,1.592,21.35,29,600.81,18.83268070000122
pglib_opf_case73_ieee_rts,0.01,456,50,10,0.522,0.9971212624584718,1.733,15.17,20,187.94,14.873648900000262
pglib_opf_case73_ieee_rts,0.01,456,50,50,0.468,0.9969269102990034,1.85,9.0,12,38.63,11.944308800000726
pglib_opf_case73_ieee_rts,0.01,456,None,2,0.561,0.9973554817275747,1.592,21.35,29,600.81,18.38714560000153
pglib_opf_case73_ieee_rts,0.01,456,None,10,0.522,0.9971212624584718,1.733,15.17,20,187.94,14.653933499997947
pglib_opf_case73_ieee_rts,0.01,456,None,50,0.468,0.9969269102990034,1.85,9.0,12,38.63,11.790781899999274
pglib_opf_case73_ieee_rts,0.01,789,10,2,0.576,0.9973073089700997,1.621,10.0,10,277.13,16.20559350000258
pglib_opf_case73_ieee_rts,0.01,789,10,10,0.55,0.997217607973422,1.675,10.0,10,147.76,15.1002069999995
pglib_opf_case73_ieee_rts,0.01,789,10,50,0.507,0.9969551495016611,1.833,8.9,10,38.75,11.772104200001195
pglib_opf_case73_ieee_rts,0.01,789,50,2,0.566,0.9972475083056478,1.657,21.67,30,598.06,17.571655299998383
pglib_opf_case73_ieee_rts,0.01,789,50,10,0.57,0.997313953488372,1.617,15.22,21,187.14,15.040306200000487
pglib_opf_case73_ieee_rts,0.01,789,50,50,0.507,0.9969285714285714,1.849,9.0,12,38.88,11.862201500000083
pglib_opf_case73_ieee_rts,0.01,789,None,2,0.566,0.9972475083056478,1.657,21.67,30,598.06,17.96455810000043
pglib_opf_case73_ieee_rts,0.01,789,None,10,0.57,0.997313953488372,1.617,15.22,21,187.14,15.072539500000858
pglib_opf_case73_ieee_rts,0.01,789,None,50,0.507,0.9969285714285714,1.849,9.0,12,38.88,11.626324699998804
pglib_opf_case73_ieee_rts,0.01,1024,10,2,0.552,0.9973637873754153,1.587,10.0,10,281.41,16.267606299999898
pglib_opf_case73_ieee_rts,0.01,1024,10,10,0.532,0.9973006644518272,1.625,10.0,10,147.33,14.406214799997542
pglib_opf_case73_ieee_rts,0.01,1024,10,50,0.456,0.9970033222591362,1.804,8.89,10,38.63,11.796962500000518
pglib_opf_case73_ieee_rts,0.01,1024,50,2,0.562,0.9974102990033222,1.559,21.33,29,602.47,18.490614499998628
pglib_opf_case73_ieee_rts,0.01,1024,50,10,0.543,0.99728073089701,1.637,15.1,20,187.7,15.187823799999023
pglib_opf_case73_ieee_rts,0.01,1024,50,50,0.455,0.996985049833887,1.815,8.96,12,38.72,11.95586159999948
pglib_opf_case73_ieee_rts,0.01,1024,None,2,0.562,0.9974152823920266,1.556,21.33,29,602.47,19.716822599999432
pglib_opf_case73_ieee_rts,0.01,1024,None,10,0.543,0.99728073089701,1.637,15.1,20,187.7,15.20327339999858
pglib_opf_case73_ieee_rts,0.01,1024,None,50,0.455,0.996985049833887,1.815,8.96,12,38.72,12.856633999999758
